skin_type,climate,preference,recommendation
oily,humid,matte,"For oily skin in humid climates with a preference for a matte finish, opt for oil-free, gel-based skincare with niacinamide. E.g., La Roche-Posay Effaclar Gel, Clean & Clear Oil-Free Moisturizer."
oily,humid,glowing,"For oily skin in humid climates with a preference for a glowing finish, opt for oil-free, gel-based skincare with niacinamide. E.g., La Roche-Posay Effaclar Gel, Clean & Clear Oil-Free Moisturizer."
oily,humid,natural,"For oily skin in humid climates with a preference for a natural finish, opt for oil-free, gel-based skincare with niacinamide. E.g., La Roche-Posay Effaclar Gel, Clean & Clear Oil-Free Moisturizer."
oily,humid,hydrated,"For oily skin in humid climates with a preference for a hydrated finish, opt for oil-free, gel-based skincare with niacinamide. E.g., La Roche-Posay Effaclar Gel, Clean & Clear Oil-Free Moisturizer."
oily,humid,lightweight,"For oily skin in humid climates with a preference for a lightweight finish, opt for oil-free, gel-based skincare with niacinamide. E.g., La Roche-Posay Effaclar Gel, Clean & Clear Oil-Free Moisturizer."
oily,dry,matte,"For oily skin in dry climates with a preference for a matte finish, opt for oil-free, gel-based skincare with niacinamide. E.g., La Roche-Posay Effaclar Gel, Clean & Clear Oil-Free Moisturizer."
oily,dry,glowing,"For oily skin in dry climates with a preference for a glowing finish, opt for oil-free, gel-based skincare with niacinamide. E.g., La Roche-Posay Effaclar Gel, Clean & Clear Oil-Free Moisturizer."
oily,dry,natural,"For oily skin in dry climates with a preference for a natural finish, opt for oil-free, gel-based skincare with niacinamide. E.g., La Roche-Posay Effaclar Gel, Clean & Clear Oil-Free Moisturizer."
oily,dry,hydrated,"For oily skin in dry climates with a preference for a hydrated finish, opt for oil-free, gel-based skincare with niacinamide. E.g., La Roche-Posay Effaclar Gel, Clean & Clear Oil-Free Moisturizer."
oily,dry,lightweight,"For oily skin in dry climates with a preference for a lightweight finish, opt for oil-free, gel-based skincare with niacinamide. E.g., La Roche-Posay Effaclar Gel, Clean & Clear Oil-Free Moisturizer."
oily,cold,matte,"For oily skin in cold climates with a preference for a matte finish, opt for oil-free, gel-based skincare with niacinamide. E.g., La Roche-Posay Effaclar Gel, Clean & Clear Oil-Free Moisturizer."
oily,cold,glowing,"For oily skin in cold climates with a preference for a glowing finish, opt for oil-free, gel-based skincare with niacinamide. E.g., La Roche-Posay Effaclar Gel, Clean & Clear Oil-Free Moisturizer."
oily,cold,natural,"For oily skin in cold climates with a preference for a natural finish, opt for oil-free, gel-based skincare with niacinamide. E.g., La Roche-Posay Effaclar Gel, Clean & Clear Oil-Free Moisturizer."
oily,cold,hydrated,"For oily skin in cold climates with a preference for a hydrated finish, opt for oil-free, gel-based skincare with niacinamide. E.g., La Roche-Posay Effaclar Gel, Clean & Clear Oil-Free Moisturizer."
oily,cold,lightweight,"For oily skin in cold climates with a preference for a lightweight finish, opt for oil-free, gel-based skincare with niacinamide. E.g., La Roche-Posay Effaclar Gel, Clean & Clear Oil-Free Moisturizer."
